publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p738667,earthquake,2022-10-01T07:21:16.727Z,2022-10-12T22:56:11.774Z,179.6683044,-34.0434227,5.089768517,200,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,34,28,13,3.681519985,140.4928589,1.443375392,0.4
2022p735882,earthquake,2022-09-30T06:37:37.064Z,2022-10-12T20:48:20.788Z,-179.244278,-32.40172195,5.507737769,352.3682251,mB,,LOCSAT,confirmed,manual,iasp91,33,26,86,3.329051971,177.6163673,1.055290232,0.1926063298
2022p719060,earthquake,2022-09-24T01:14:22.788Z,2022-10-07T03:04:01.109Z,-178.6736603,-34.41443253,5.16744252,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,30,25,11,3.982539177,163.5630746,1.175773797,0.1498983926
2022p714540,earthquake,2022-09-22T09:07:06.335Z,2022-10-05T01:13:02.658Z,174.1851654,-40.81290436,5.787389653,52.74744415,MLv,,LOCSAT,confirmed,manual,iasp91,34,25,49,0.2003436089,77.20928955,0.4207919293,0.1218814254
2022p708907,earthquake,2022-09-20T07:05:55.867Z,2022-10-03T20:50:33.945Z,-178.9972992,-33.47927475,5.410945386,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,27,21,17,4.303945065,190.9677563,1.234239764,0.1090329123
2022p650700,outside of network interest,2022-08-29T18:10:49.531Z,2022-08-29T19:31:19.989Z,-178.4707642,-32.89428329,6.072404402,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,24,21,16,3.66750598,165.4678965,1.374722863,0.1708955378
2022p643367,earthquake,2022-08-27T01:04:54.062Z,2022-09-12T04:50:33.354Z,-177.89888,-33.50971222,5.061466461,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,7,4.234683514,211.5915222,0.5458141047,0.103194922
2022p625545,earthquake,2022-08-20T10:49:15.052Z,2022-09-06T00:00:59.434Z,-178.7248383,-32.87195969,5.181041788,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,31,22,6,3.664201498,191.5028334,0.9515545166,0.08924400755
2022p612988,earthquake,2022-08-15T19:19:16.417Z,2022-08-30T04:49:12.444Z,-178.3270416,-33.07824707,5.038423208,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,20,16,7,5.252056599,316.5072174,0.876423665,0.1459785314
2022p611253,earthquake,2022-08-15T03:54:38.142Z,2022-08-30T02:44:32.976Z,-177.8983459,-33.05630493,5.325196207,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,29,24,43,3.782501459,175.2870331,0.9254548006,0.2364227052
2022p609656,earthquake,2022-08-14T13:44:18.510Z,2022-08-15T00:44:21.996Z,-178.617157,-32.83261871,6.691298983,12,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,29,26,37,3.605803251,144.8712234,1.684057067,0.1512755754
2022p557940,earthquake,2022-07-26T10:30:54.085Z,2022-08-05T04:14:48.562Z,178.4715271,-37.77269363,5.316631133,39.94488525,MLv,,LOCSAT,confirmed,manual,iasp91,39,28,112,0.06448601931,156.6307259,0.5278179359,0.3092586508
2022p554186,earthquake,2022-07-25T01:09:44.924Z,2022-08-04T23:22:33.804Z,-178.897049,-33.84732056,5.61602954,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,26,21,45,4.349252224,159.8766098,0.8035260262,0.2371137353
2022p544345,earthquake,2022-07-21T09:45:57.694Z,2022-07-21T20:55:40.666Z,-177.250473,-32.7258606,5.289957284,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,25,18,3,3.493513823,220.9662628,1.680763188,0.07900103798
